year,company,role,last_name,first_name,full_name,board,ceoprez,cxo,primary,support,bu
1993,adc telecommunications inc,"senior vice president, general manager, broadband connectivity division",davis,lynn,lynn j. davis,0,0,0,0,0,1
1993,adc telecommunications inc,"vice president, international",wetherell,jeffrey,jeffrey s. wetherell,0,0,0,0,0,1
1993,adc telecommunications inc,"vice president, controller",berg,joan,joan k. berg,0,0,0,0,1,0
1993,adc telecommunications inc,"president, chief executive officer and chief operating officer",cadogan,william,william j. cadogan,0,1,1,1,0,0
1993,adc telecommunications inc,"vice president, and president of kentrox",porter,william,william b. porter,0,0,0,0,0,1
1993,adc telecommunications inc,"vice president, and president of als",mesiya,m. farooque,m. farooque mesiya,0,0,0,0,0,1
1993,adc telecommunications inc,"vice president, and president of fibermux",brown,bruce,bruce w. brown,0,0,0,0,0,1
1993,adc telecommunications inc,"vice president, chief financial officer",switz,robert,robert e. switz,0,0,1,0,1,0
1993,adc telecommunications inc,"vice president, sales, customer services and marketing",asten,lawrence,lawrence d. asten,0,0,0,1,0,0
1993,adc telecommunications inc,chairman of the board,"denny, jr.",charles,"charles m. denny, jr.",1,0,0,0,0,0
1994,adc telecommunications inc,"vice president sales, customer services and marketing",asten,lawrence,lawrence d. asten,0,0,0,1,0,0
1994,adc telecommunications inc,"vice president, general manager, network services division",martin iii,william,william l. martin iii,0,0,0,0,0,1
1994,adc telecommunications inc,"vice president, and president of fibermux",brown,bruce,bruce w. brown,0,0,0,0,0,1
1994,adc telecommunications inc,"vice president, and president of kentrox",gilbert,richard,richard s. gilbert,0,0,0,0,0,1
1994,adc telecommunications inc,"vice president, general manager, access platforms",reily,jack,jack reily,0,0,0,0,0,1
1994,adc telecommunications inc,"senior vice president, transmission group",lawrence,frederick,frederick d. lawrence,0,0,0,0,0,1
1994,adc telecommunications inc,"vice president, chief financial officer",switz,robert,robert e. switz,0,0,1,0,1,0
1994,adc telecommunications inc,vice president international sales,schofield,john,john a. schofield,0,0,0,1,0,0
1994,adc telecommunications inc,"chairman of the board, president, chief executive officer and chief operating officer",cadogan,william,william j. cadogan,1,1,1,1,0,0
1994,adc telecommunications inc,"senior vice president, general manager, broadband connectivity division",davis,lynn,lynn j. davis,0,0,0,0,0,1
1995,adc telecommunications inc,"senior vice president, president broadband connectivity division",davis,lynn,lynn j. davis,0,0,0,0,0,1
1995,adc telecommunications inc,"senior vice president, president transmission group",lawrence,frederick,frederick d. lawrence,0,0,0,0,0,1
1995,adc telecommunications inc,"chairman of the board, president, chief executive officer and chief operating officer",cadogan,william,william j. cadogan,1,1,1,1,0,0
1995,adc telecommunications inc,"vice president, president adc video systems",brown,carleton,carleton a. brown,0,0,0,0,0,1
1995,adc telecommunications inc,"senior vice president, president enterprise networking group",gilbert,richard,richard s. gilbert,0,0,0,0,0,1
1995,adc telecommunications inc,"vice president, president access platforms systems",granger,james,james c. granger,0,0,0,0,0,1
1995,adc telecommunications inc,"vice president, president network systems division",martin iii,william,william l. martin iii,0,0,0,0,0,1
1995,adc telecommunications inc,"vice president, controller",roehrick,charles,charles t. roehrick,0,0,0,0,1,0
1995,adc telecommunications inc,"vice president, business development",reily,jack,jack p. reily,0,0,0,0,1,0
1995,adc telecommunications inc,"vice president, chief financial officer",switz,robert,robert e. switz,0,0,1,0,1,0
1996,adc telecommunications inc,"vice president, controller",roehrick,charles,charles t. roehrick,0,0,0,0,1,0
1996,adc telecommunications inc,"vice president, president systems integration division",schofield,john,john a. schofield,0,0,0,0,0,1
